M.I.A. , a British - born Sri Lankan electronic artist incorporates Bollywood songs in her music . ||| אם-איי-איי (באנגלית: M.I.A), אמן אלקטרוניקה בריטי יליד סרי לנקה, משלב שירי בוליווד במוזיקה שלה.
He also has a forgiving personality due to the fact that he forgave a female driver despite that she wrecked his mountain bike on his first day commute to work . ||| יש לו גם אישיות סלחנית בשל העובדה שהוא סלח לנהג נקבה למרות שהיא הרסה את אופני ההרים שלו ביום הראשון שלו נסיעה לעבודה.
The principal receives an anonymous tip ( from Perry ) that Eugene is an ex - con and she is forced to fire him . ||| המנהלת מקבלת מידע אנונימי (מפרי) שיוג'ין הוא אסיר לשעבר והיא נאלצת לפטר אותו.
Hebert is a clinical researcher having been the principal investigator on over 50 FDA regulated clinical trials and he is currently licensed to practice medicine in the State of Louisiana by the Louisiana State Board of Medical Examiners . ||| הברט הוא חוקר קליני שהיה החוקר הראשי בלמעלה מ-50 ניסויים קליניים מוסדרים, וכרגע יש לו רישיון לעסוק ברפואה במדינת לואיזיאנה על ידי מועצת הבוחן הרפואי של לואיזיאנה.
Introduced at the post office in his native Guthrie , it depicts the author as he appeared in a 1948 photograph , with a background scene of a political rally designed to evoke the setting of All the King ' s Men . ||| הוא מציג את הסופר בצילום משנת 1948, עם סצנת רקע של עצרת פוליטית שתוכננה לעורר את ההגדרה של כל אנשי המלך.
" The student who intends working on the Mallophaga should take warning that he will be tried almost beyond endurance by the paradoxes and complexities which beset his subject but he will also find , in the dual and inter-related aspect of insect and bird , an infinite fascination . " ( Rothschild & Clay , 1952 : pp . 156 - 157 ) . ||| " התלמיד שבכוונתו לעבוד על המֶלוּפַגַה צריך להזהיר שהוא יישפט כמעט מעבר לסיבולת על ־ ידי הפרדוקסים והמורכבות הכרוכים בו, אך הוא גם ימצא, בהיבט הדו ־ משמעי והקשור של החרק והציפור, משיכה אינסופית. " (רותשילד וקליי, 1952): pp. 156 - 157).
The patient had been suffering from a dull abdominal pain for nearly four weeks before consulting her family physician . ||| המטופלת סבלה מכאבי בטן קהים במשך כמעט ארבעה שבועות לפני שהתייעצה עם רופא המשפחה שלה.
Because her life expectancy exceeds the prognosed duration of remission with the presence of pituitary tumour remnants and intact left adrenal gland , the patient was qualified to radiosurgery with a Gamma Knife . ||| כיוון שתוחלת החיים שלה עולה על משך הפרוגנוזה של הפוגה בנוכחות שאריות גידול יותרת המוח ובלוטת יותרת הכליה השמאלית ללא פגע, המטופל היה מוסמך לרדיוכירורגיה עם סכין גאמה.
This case was particularly unique in that the patient and her husband were both emergency 93 physicians with the requisite skillset to perform a portable point-of-care ultrasound at home to 94 correctly make the diagnosis and also to rule out other worrisome conditions such as DVT , right 95 heart strain from a massive PE , pericardial effusion and lobar pneumonia . ||| מקרה זה היה ייחודי במיוחד בכך שהחולה ובעלה היו שניהם רופאי חירום 93 עם הכישורים הנדרשים לביצוע אולטרסאונד נייד נקודת טיפול בבית עד 94 נכון לעשות את האבחנה וגם לשלול תנאים מדאיגים אחרים כגון DVT, נכון 95 מאמץ לב מPE מסיבי, תפליט קרום הלב ודלקת ריאות לובר.
" Prescription " in this sense includes the physician 's attitude ( as the patient sees it ) and subtleties in the way he fits his instructions to the kind of patient he is dealing with . ||| " מרשם " במובן זה כולל את גישתו של הרופא (כפי שהמטופל רואה אותה) ועדינות בדרך בה הוא מתאים את הוראותיו לסוג המטופל שהוא מתמודד איתו.
The patient has been receiving oral active vitamin D and calcium , and the pain and serum calcium and phosphate values have improved to the point that he can receive out-patient treatment . ||| המטופל מקבל ויטמין D פעיל אוראלי וסידן, והכאב והנסיוב סידן וערכי זרחן השתפרו עד כדי כך שהוא יכול לקבל טיפול חוץ-מטופל.
The patient had an uneventful recovery period and he was followed for two weeks . ||| למטופל הייתה תקופת התאוששות ללא אירועים מיוחדים, ועקבו אחריו במשך שבועיים.
The patient developed auditory hallucinations , persecutory delusional ideas , and was terrified soon upon his arrival in a foreign country . ||| המטופל פיתח הזיות שמיעה, רעיונות הזויים רודף, והיה מבוהל בקרוב עם הגעתו בארץ זרה.
The occurrence of M-protein with antigenous appurtenance of IgM not only in the patient himself but also in some of the healthy blood relations in the family is pointed out . ||| התרחשותו של M-פרוטאין עם תמיכה אנטיגנית של IgM לא רק בחולה עצמו, אלא גם בחלק מיחסי הדם הבריאים במשפחה.
These studies refer to NR as a multidisciplinary approach ( a specially trained team of professionals ) with concrete objectives and established job descriptions , a suitable battery of instruments for measurement of the results , active participation of the patient and his family and correct follow-up in the community . ||| מחקרים אלה מתייחסים ל-NR כגישה רב-תחומית (צוות מקצועי מאומן במיוחד) עם מטרות מוצקות ותיאורי עבודה מבוססים, סוללה מתאימה של מכשירים למדידת התוצאות, השתתפות פעילה של המטופל ומשפחתו והמשך נכון בקהילה.
Because his symptoms got worse , on the 6 th day of illness , the patient was hospitalized and started on empirically intravenous antibiotics and favipiravir . ||| בגלל שהתסמינים שלו החמירו, ביום השישי של המחלה, המטופל אושפז והחל לקבל אנטיביוטיקה תוך ורידית ואמפירית.
Our patient is unique because he has symptomatic IGV and INCPH . ||| המטופל שלנו הוא ייחודי כי יש לו IGV סימפטומטי ו INCPH.
The " hunter " was later added due to his abilities in that field . ||| " הצייד " נוספו מאוחר יותר בשל כישוריו בתחום זה.
A friend challenged de Vivie to ride his new bicycle 100 Â km in six hours and he set out to the mountain resort of Chaise - Dieu . ||| חבר קרא תיגר על דה ויו לרכב על אופניו החדשים 100 קילומטר בשש שעות והוא יצא אל אתר הנופש ההררי צ'יז דיאו.
The aim of molecular genetic analysis in families with haemophilia is to identify the causative mutation in an affected male as this provides valuable information for the patient and his relatives . ||| המטרה של ניתוח גנטי מולקולרי במשפחות עם המופיליה היא לזהות את המוטציה הסיבתית בזכר מושפע כמו זה מספק מידע בעל ערך עבור החולה וקרוביו.
We present a patient who was considered to be high risk for recurrent pulmonary emboli and who could not undergo preoperative vena caval umbrella placement , because his weight exceeded the limit of our angiographic table . ||| אנו מציגים מטופל שנחשב כסיכון גבוה לתסחיף ריאתי חוזר ונשני ושלא יכול היה לעבור מיקום מטרייה וורידית לפני ניתוח, כי משקלו עלה על הגבול של השולחן האנגיוגרפי שלנו.
He appears to have been , according to the testimony of friend and foe , an exceedingly bad man ; cruel in his nature ; repulsive in features ; rude in manners ; and foul and profane in speech . ||| נראה שהוא היה, על פי עדותם של חבר ואויב, אדם רע מאוד; אכזרי מאוד בטבעו; דוחה במאפיינים; גס נימוסים; ומלוכלך וטמא בדיבור.
After CMV viremia developed , the patient received ganciclovir , but he was switched to foscarnet when ganciclovir resistance was suspected . ||| לאחר פיתוח Virmia של CMV, המטופל קיבל Ganciclovir, אבל הוא הוחלף לFoscarnet כאשר Ganciclovir התנגדות נחשדה.
Postoperatively , the patient showed slight left motor weakness , but it gradually improved and he was discharged on foot , on October 19 , 1988 . ||| לאחר הניתוח, הראה החולה חולשה מוטורית קלה שמאלה, אבל זה השתפר בהדרגה והוא שוחרר ברגל, ב-19 באוקטובר 1988.
In light of the patients advanced melanoma , the patient opted for best supportive care and he died as a consequence of respiratory failure . ||| לאור התקדמות החולים במלנומה, המטופל בחר בטיפול תומך הטוב ביותר והוא מת כתוצאה מכשל נשימתי.
Why should a gas station attendant pay a greater share than the oil company he works for ? ||| למה שדייל בתחנת דלק ישלם נתח גדול יותר מחברת הנפט שהוא עובד עבורה?
An excellent teacher , Dykes won a number of teaching awards during her 15 years of service at Howard University . ||| דייקס זכתה במספר פרסי הוראה במהלך 15 שנות שירותה באוניברסיטת הווארד.
Her teacher , Victor Torres Lizardi , a painter from Caguas , taught her pen and ink along with watercolors . ||| המורה שלה, ויקטור טורס ליזרדי, צייר מקאגואס, לימד אותה עט ודיו יחד עם צבעי מים.
The charge nurse , finding herself in a situation which amounted to a crisis in the work of the department and the lives of the staff , introduced a process which sought to establish that control . ||| האחות האחראית, שמצאה את עצמה במצב שהסתכם במשבר בעבודה של המחלקה וחיי הצוות, הציגה תהליך שביקש לבסס שליטה זו.
The author declares that she has no conflict of interest ||| הסופרת מצהירה שאין לה ניגוד אינטרסים.
VANITY grounds ; the author admits on her user page that she works for NASA doing programing and podcasting . ||| VANITY ground; הסופר מודה בעמוד המשתמש שלה שהיא עובדת עבור נאס"א עושה תכנות וpodcasting.
She counted among her grandparents James McKeen Cattell , an influential psychologist and academic . ||| היא ספרה בין הסבים שלה ג'יימס McKeen Cattell, פסיכולוג בעל השפעה ואקדמאי.
One day after her cat had gone missing , Saueressig suspected the maid as the cause . ||| יום אחד לאחר שהחתול שלה נעלם, Saueressig חשד העוזרת כסיבה.
Although Howard had used the cemetery 's caretaker lodge as her private residence for years , after November 5 , 2005 , she was barred by the CFB from entering the cemetery grounds . ||| למרות שהווארד השתמש באכסניית השרת של בית הקברות כמגוריה הפרטיים במשך שנים, לאחר 5 בנובמבר 2005, נאסר עליה להיכנס לשטח בית הקברות.
Fandemonium 's company runner and chief editor , Sally Malcolm , started out as a fanfic writer herself . ||| רץ החברה של Fandomium ועורך ראשי, סאלי מלקולם, התחיל כסופר fanfic עצמה.
In this article , the author relates her experiences as a nurse to her current choice of profession , the law . ||| במאמר זה, המחברת מסבירה את חוויותיה כאחות לבחירת המקצוע הנוכחית שלה, החוק.
Each student is assigned a faculty advisor to assist the student in the selection of her courses , serve as a liaison between the student and her teachers , consult with parents about academic and related problems , and review and discuss all grades . ||| כל תלמיד מוקצה יועץ סגל כדי לסייע לתלמידה בבחירת הקורסים שלה, לשמש כמקשר בין התלמיד למוריה, להתייעץ עם ההורים על בעיות אקדמיות וקשורות, ולדון בכל הציונים.
Japanese high school student Sekai Maihime confesses her romantic feelings to her classmate Midou while on a school train tour through France . ||| תלמידת תיכון יפנית, סאקי מאיהים, מתוודה על רגשותיה הרומנטיים בפני חברתה לכיתה מידו בזמן סיור ברכבת דרך צרפת.
The teacher , Gillian Gibbons , allowed her class to name a teddy bear Muhammad . ||| המורה, ג'יליאן גיבונס, אפשרה לכיתה שלה לתת שם לדובי מוחמד.
The dorm made headlines for its cost of $ 2.6 million , of which $ 1 million was donated by Florence Moore ( two other smaller nearby student houses are named after her husband , Robert S. Moore ) . ||| המעונות עשו כותרות בעלות של 2.6 מיליון דולר, מתוכם נתרמו 1 מיליון דולר על ידי פירנצה מור (שני בתי סטודנטים קטנים יותר בקרבת מקום נקראו על שם בעלה, רוברט מור).
The author comments on the political and economic options in the wake of the coronavirus pandemic that started at the beginning of 2020 She revisits responses to the crises of the First World War , the Great Crash of 1929 , and the Second World War , sorting them into ' pessimistic ' and ' optimistic ' responses , and outlining their respective consequences ||| המחברת מעירה על האפשרויות הפוליטיות והכלכליות בעקבות מגיפת הקורונה-וירוס שהחלה בתחילת שנת 2020 היא חוזרת על התגובות למשברים של מלחמת העולם הראשונה, להתרסקות הגדולה של 1929, ולמלחמת העולם השנייה, למיין אותם לתגובות פסימיות ואופטימיות, ולפרש את השלכותיהם בהתאמה
Intreged , the female lawyer sent her assistant to the accident sight where she found a deli that had a camera inadverdently fixed toward the cross streets in question , but had been disabled 1 day after the accident . ||| עורכת הדין שלחה את העוזרת שלה לזירת התאונה, שם היא מצאה מעדנייה עם מצלמה שלא הייתה מכוונת לרחובות הצלב המדוברים, אך היא נוטרלה יום אחד לאחר התאונה.
At the age of fifteen , and still a student herself , Knight took over her mother 's teaching duties when Charlotte was diagnosed with cancer and became seriously ill . ||| בגיל חמש עשרה, ועדיין סטודנטית בעצמה, נייט לקח על עצמה את חובות ההוראה של אמה כאשר שרלוט אובחנה עם סרטן ונעשתה חולה מאוד.
The developer of taido created these team sports to supplement the single ones , since he wanted to emphasize interactivity and sociability amongst the practitioners . ||| המפתח של טאידו יצר ספורט קבוצתי זה כדי להוסיף את אלה בודדים, שכן הוא רצה להדגיש אינטראקטיביות וחברות בקרב הרופאים.
Grimsby manager Paul Groves managed to make Cooke 's switch to Blundell Park a permanent one , following his release from Manchester City at the end of the 2001â€“2002 season . ||| גרימסבי מנהל פול גרובס הצליח להפוך את החלפתו של קוק לBlundell Park קבוע, בעקבות שחרורו ממנצ'סטר סיטי בסוף עונת 2001 € €2002.
At a gate on the left , he observed that the guard was thin , and thither he led the first - rank men and spearmen of the second legion . ||| בשער משמאל הבחין השומר כי היה דק, ושם הוביל את אנשי הדרגה הראשונה ואת אנשי החנית של הלגיון השני.
The airman , a German officer , identified himself as Captain Albert Horn . ||| הטייס, קצין גרמני, הזדהה כקפטן אלברט הורן.
He was a " farmer boy , " plain in his manners , and most modest in his desires ; but there dwelt in his manly , stalwart form as stout a heart as ever died for liberty ; yet withal a heart so tender , so affectionate ! ||| הוא היה ' איכר ', רגיל בנימוסיו, וצנוע ביותר בתאוותיו; אך שם שכן בצורתו הגברית, חסון לב כמו תמיד מת למען החירות; אך בלב כה רך, כה אוהב!
After a night of cheating , the president is confronted by his wife , Beth MacMann . ||| אחרי לילה של רמאות, הנשיא מתעמת עם אשתו, בת' מקמאן.
Unfortunately , the captain of the ship , Captain Samilin - Corrath - Gahar , reveals himself to be a traitor . ||| למרבה הצער, קפטן הספינה, קפטן סמילין-קוראת-גאהאר, חושף את עצמו כבוגד.
The director was praised for his mature handling of the theme and for his realistic portrayal of Goans involved in the tourism industry and also his depiction of the way of life of Goan Christians . ||| הבמאי זכה לשבחים על טיפולו הבוגר בנושא ועל תיאורו הריאליסטי של גואנס בתעשיית התיירות ועל תיאור חייו של המשיחיים הגואנים.
The former president of Sierra Leone Ahmad Tejan Kabbah used State Lodge as his residence . ||| הנשיא לשעבר של סיירה לאונה אחמד טג'אן Kabbah משמש המדינה Lodge כמגורים שלו.
Ernest was the primary drummer on the two Allen Toussaint produced Patti LaBelle albums ( " Nightbirds " and " Phoenix " ) , most influentially in his contribution to the beat of " Lady Marmalade " . ||| ארנסט היה המתופף העיקרי של שני האלבומים של אלן טוסאנט ("ציפורי הלילה" ו" פיניקס"), שהשפיעו ביותר על תרומתו לקצב של " ליידי מרמלדה" (Lady Marmalade).
For his design , the artist also relied on a life mask and hand casts made of Lincoln in 1860 by Leonard W. Volk . ||| על פי עיצובו, האומן נשען גם על מסיכת חיים ועל ליהוק של לינקולן בשנת 1860 על ידי לאונרד וו. וולק.
Name recognition played a role in both parties ' primaries : Farmer enjoyed high name recognition from his days as a basketball player , while the Democratic nominee , David Lynn Williams , had a name similar to that of Kentucky Senate President David L. Williams . ||| שם ההכרה שיחק תפקיד בבחירות המקדימות של שני הצדדים: פארמר נהנה מהכרת שם גבוה מימיו כשחקן כדורסל, בעוד שהמועמד הדמוקרטי, דייוויד לין ויליאמס, זכה לשם דומה לזה של נשיא הסנאט קנטקי דייוויד ויליאמס.
The northern provinces remained loyal to the emperor , and hoping to avoid a civil war , Sun â€” proclaimed " provisional president " by his supporters â€” compromised with the monarchist general Yuan Shikai . ||| הפרובינציות הצפוניות נשארו נאמנות לקיסר, וקיוותו להימנע ממלחמת אזרחים, סאן הכריזה "נשיא זמני" על ידי תומכיו.
Following his graduation , the young artist studied painting at the Royal Munich Academy . ||| לאחר סיום לימודיו למד האמן הצעיר ציור באקדמיית רויאל מינכן.
The hero is a young German professor , who is so wrapped up in his search for a manuscript by Tacitus that he is oblivious to an impending tragedy in his domestic life . ||| הגיבור הוא פרופסור גרמני צעיר, אשר כל כך שקוע בחיפושו אחר כתב יד של טקיטוס שהוא מתעלם מטרגדיה קרובה בחייו המשפחתיים.
The union 's current president is actually Amos Adamu , but he was banned for three years from football activity by FIFA over vote - buying claims for the bids of the 2018 and 2022 FIFA World Cups . ||| הנשיא הנוכחי של האיגוד הוא למעשה עמוס אדאמו, אך הוא הורחק במשך שלוש שנים מפעילות הכדורגל על ידי FIFA - קניית תביעות עבור הצעות המחיר של 2018 ו2022 גביעי העולם FIFA.
He shows little emotion , though several times throughout the story he displays sadness and regret for what is necessary , and in the end he shows his love for his child and his former lover , Marisa Coulter , appearing particularly angry when he thinks that fate has brought him Lyra to use as his " sacrifice " to bridge worlds . ||| הוא מראה רגש קטן, אם כי מספר פעמים לאורך הסיפור הוא מציג עצבות וחרטה על מה שנדרש, ובסופו של דבר הוא מראה את אהבתו לילדו ולמאהבו לשעבר, מריסה קולטר, מראה כעס במיוחד כשהוא חושב שהגורל הביא לו את ליירה כ " קורבן " כדי לגשר על עולמות.
